service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
LACMTA_RAILRDEC25-801-1_Weekday-22,1,1,1,1,1,0,0,20260325,20260325
LACMTA_RAILRDEC25-801-1_Weekday-23,1,1,1,1,1,0,0,20260326,20260326
LACMTA_RAILRDEC25-801-1_Weekday-24,1,1,1,1,1,0,0,20260327,20260327
LACMTA_RAILRDEC25-801-2_Saturday-09,0,0,0,0,0,1,0,20260328,20260328
LACMTA_RAILRDEC25-801-3_Sunday-90,0,0,0,0,0,0,1,20260329,20260405
LACMTA_RAILRDEC25-801-1_Weekday-90,1,1,1,1,1,0,0,20260330,20260408
LACMTA_RAILRDEC25-801-2_Saturday-90,0,0,0,0,0,1,0,20260404,20260404
LACMTA_RAILRDEC25-802-1_Weekday-43,1,1,1,1,1,0,0,20260325,20260326
LACMTA_RAILRDEC25-802-1_Weekday-55,1,1,1,1,1,0,0,20260327,20260327
LACMTA_RAILRDEC25-802-2_Saturday-55,0,0,0,0,0,1,0,20260328,20260328
LACMTA_RAILRDEC25-802-3_Sunday-91,0,0,0,0,0,0,1,20260329,20260405
LACMTA_RAILRDEC25-802-1_Weekday-91,1,1,1,1,1,0,0,20260330,20260408
LACMTA_RAILRDEC25-802-2_Saturday-91,0,0,0,0,0,1,0,20260404,20260404
LACMTA_RAILRDEC25-803-1_Weekday-16,1,1,1,1,1,0,0,20260325,20260325
LACMTA_RAILRDEC25-803-1_Weekday-14,1,1,1,1,1,0,0,20260326,20260326
LACMTA_RAILRDEC25-803-1_Weekday-17,1,1,1,1,1,0,0,20260327,20260327
LACMTA_RAILRDEC25-803-2_Saturday-08,0,0,0,0,0,1,0,20260328,20260328
LACMTA_RAILRDEC25-803-3_Sunday-90,0,0,0,0,0,0,1,20260329,20260329
LACMTA_RAILRDEC25-803-1_Weekday-18,1,1,1,1,1,0,0,20260330,20260403
LACMTA_RAILRDEC25-803-1_Weekday-19,1,1,1,1,1,0,0,20260401,20260401
LACMTA_RAILRDEC25-803-2_Saturday-09,0,0,0,0,0,1,0,20260404,20260404
LACMTA_RAILRDEC25-803-3_Sunday-09,0,0,0,0,0,0,1,20260405,20260405
LACMTA_RAILRDEC25-803-1_Weekday-90,1,1,1,1,1,0,0,20260406,20260408
LACMTA_RAILRDEC25-804-1_Weekday-90,1,1,1,1,1,0,0,20260325,20260408
LACMTA_RAILRDEC25-804-1_Weekday-07,1,1,1,1,1,0,0,20260327,20260327
LACMTA_RAILRDEC25-804-2_Saturday-91,0,0,0,0,0,1,0,20260328,20260328
LACMTA_RAILRDEC25-804-3_Sunday-91,0,0,0,0,0,0,1,20260329,20260405
LACMTA_RAILRDEC25-804-1_Weekday-20,1,1,1,1,1,0,0,20260401,20260401
LACMTA_RAILRDEC25-804-2_Saturday-05,0,0,0,0,0,1,0,20260404,20260404
metrolinktrains1141,1,1,1,1,1,0,0,20260320,20271231
metrolinktrains1142,1,1,1,1,1,0,0,20260320,20271231
metrolinktrains1143,0,0,0,0,0,1,1,20260320,20271231
metrolinktrains1146,1,1,1,1,1,0,0,20260320,20271231
metrolinktrains1147,0,0,0,0,0,1,1,20260320,20271231
metrolinktrains1149,1,1,1,1,1,0,0,20260320,20271231
metrolinktrains1150,1,1,1,1,1,0,0,20260320,20271231
metrolinktrains1151,1,1,1,1,1,0,0,20260320,20271231
metrolinktrains1152,0,0,0,0,0,1,1,20260320,20271231
metrolinktrains1153,1,1,1,1,1,0,0,20260320,20271231
metrolinktrains1154,0,0,0,0,0,1,1,20260320,20271231
metrolinktrains1155,0,0,0,0,0,1,1,20260320,20271231
metrolinktrains1156,0,0,0,0,0,1,1,20260320,20271231
