service_id,date,exception_type,holiday_name
LACMTA_RAILRDEC25-803-1_Weekday-18,20260401,2,
LACMTA_RAILRDEC25-804-1_Weekday-90,20260327,2,
LACMTA_RAILRDEC25-804-1_Weekday-90,20260401,2,
metrolinktrains1141,20260525,2,
metrolinktrains1141,20260703,2,
metrolinktrains1141,20260907,2,
metrolinktrains1141,20261126,2,
metrolinktrains1141,20261127,2,
metrolinktrains1141,20261225,2,
metrolinktrains1142,20260525,2,
metrolinktrains1142,20260703,2,
metrolinktrains1142,20260907,2,
metrolinktrains1142,20261126,2,
metrolinktrains1142,20261127,2,
metrolinktrains1142,20261225,2,
metrolinktrains1143,20260525,1,
metrolinktrains1143,20260703,1,
metrolinktrains1143,20260907,1,
metrolinktrains1143,20261126,1,
metrolinktrains1143,20261127,1,
metrolinktrains1143,20261225,1,
metrolinktrains1146,20260525,2,
metrolinktrains1146,20260703,2,
metrolinktrains1146,20260907,2,
metrolinktrains1146,20261126,2,
metrolinktrains1146,20261127,2,
metrolinktrains1146,20261225,2,
metrolinktrains1147,20260525,1,
metrolinktrains1147,20260703,1,
metrolinktrains1147,20260907,1,
metrolinktrains1147,20261126,1,
metrolinktrains1147,20261127,1,
metrolinktrains1147,20261225,1,
metrolinktrains1149,20260525,2,
metrolinktrains1149,20260703,2,
metrolinktrains1149,20260907,2,
metrolinktrains1149,20261126,2,
metrolinktrains1149,20261127,2,
metrolinktrains1149,20261225,2,
metrolinktrains1150,20260525,2,
metrolinktrains1150,20260703,2,
metrolinktrains1150,20260907,2,
metrolinktrains1150,20261126,2,
metrolinktrains1150,20261127,2,
metrolinktrains1150,20261225,2,
metrolinktrains1151,20260525,2,
metrolinktrains1151,20260703,2,
metrolinktrains1151,20260907,2,
metrolinktrains1151,20261126,2,
metrolinktrains1151,20261127,2,
metrolinktrains1151,20261225,2,
metrolinktrains1152,20260525,1,
metrolinktrains1152,20260703,1,
metrolinktrains1152,20260907,1,
metrolinktrains1152,20261126,1,
metrolinktrains1152,20261127,1,
metrolinktrains1152,20261225,1,
metrolinktrains1153,20260525,2,
metrolinktrains1153,20260703,2,
metrolinktrains1153,20260907,2,
metrolinktrains1153,20261126,2,
metrolinktrains1153,20261127,2,
metrolinktrains1153,20261225,2,
metrolinktrains1154,20260525,1,
metrolinktrains1154,20260703,1,
metrolinktrains1154,20260907,1,
metrolinktrains1154,20261126,1,
metrolinktrains1154,20261127,1,
metrolinktrains1154,20261225,1,
metrolinktrains1155,20260525,1,
metrolinktrains1155,20260703,1,
metrolinktrains1155,20260907,1,
metrolinktrains1155,20261126,1,
metrolinktrains1155,20261127,1,
metrolinktrains1155,20261225,1,
metrolinktrains1156,20260525,1,
metrolinktrains1156,20260703,1,
metrolinktrains1156,20260907,1,
metrolinktrains1156,20261126,1,
metrolinktrains1156,20261127,1,
metrolinktrains1156,20261225,1,
