fare_id,route_id,origin_id,destination_id,contains_id
LACMTA_RAIL3,LACMTA_RAIL801,,,
LACMTA_RAIL3,LACMTA_RAIL802,,,
LACMTA_RAIL3,LACMTA_RAIL803,,,
LACMTA_RAIL3,LACMTA_RAIL804,,,
LACMTA_RAIL3,LACMTA_RAIL807,,,
LACMTA_RAIL3,LACMTA_RAIL805,,,
metrolinktrains19,,metrolinktrains101,metrolinktrains102,
metrolinktrains40,,metrolinktrains101,metrolinktrains103,
metrolinktrains3,,metrolinktrains101,metrolinktrains104,
metrolinktrains4,,metrolinktrains101,metrolinktrains105,
metrolinktrains17,,metrolinktrains101,metrolinktrains106,
metrolinktrains14,,metrolinktrains101,metrolinktrains107,
metrolinktrains49,,metrolinktrains101,metrolinktrains108,
metrolinktrains11,,metrolinktrains101,metrolinktrains109,
metrolinktrains25,,metrolinktrains101,metrolinktrains110,
metrolinktrains29,,metrolinktrains101,metrolinktrains111,
metrolinktrains43,,metrolinktrains101,metrolinktrains112,
metrolinktrains34,,metrolinktrains101,metrolinktrains113,
metrolinktrains13,,metrolinktrains101,metrolinktrains114,
metrolinktrains10,,metrolinktrains101,metrolinktrains115,
metrolinktrains22,,metrolinktrains101,metrolinktrains116,
metrolinktrains37,,metrolinktrains101,metrolinktrains117,
metrolinktrains14,,metrolinktrains101,metrolinktrains118,
metrolinktrains42,,metrolinktrains101,metrolinktrains119,
metrolinktrains30,,metrolinktrains101,metrolinktrains120,
metrolinktrains18,,metrolinktrains101,metrolinktrains121,
metrolinktrains23,,metrolinktrains101,metrolinktrains122,
metrolinktrains46,,metrolinktrains101,metrolinktrains123,
metrolinktrains26,,metrolinktrains101,metrolinktrains124,
metrolinktrains16,,metrolinktrains101,metrolinktrains125,
metrolinktrains22,,metrolinktrains101,metrolinktrains126,
metrolinktrains27,,metrolinktrains101,metrolinktrains127,
metrolinktrains30,,metrolinktrains101,metrolinktrains128,
metrolinktrains21,,metrolinktrains101,metrolinktrains129,
metrolinktrains26,,metrolinktrains101,metrolinktrains130,
metrolinktrains50,,metrolinktrains101,metrolinktrains133,
metrolinktrains22,,metrolinktrains101,metrolinktrains135,
metrolinktrains37,,metrolinktrains101,metrolinktrains140,
metrolinktrains43,,metrolinktrains101,metrolinktrains141,
metrolinktrains22,,metrolinktrains101,metrolinktrains143,
metrolinktrains61,,metrolinktrains101,metrolinktrains144,
metrolinktrains31,,metrolinktrains101,metrolinktrains145,
metrolinktrains40,,metrolinktrains101,metrolinktrains147,
metrolinktrains43,,metrolinktrains101,metrolinktrains148,
metrolinktrains48,,metrolinktrains101,metrolinktrains152,
metrolinktrains45,,metrolinktrains101,metrolinktrains153,
metrolinktrains31,,metrolinktrains101,metrolinktrains154,
metrolinktrains35,,metrolinktrains101,metrolinktrains156,
metrolinktrains29,,metrolinktrains101,metrolinktrains161,
metrolinktrains39,,metrolinktrains101,metrolinktrains162,
metrolinktrains36,,metrolinktrains101,metrolinktrains163,
metrolinktrains29,,metrolinktrains101,metrolinktrains164,
metrolinktrains32,,metrolinktrains101,metrolinktrains165,
metrolinktrains53,,metrolinktrains101,metrolinktrains166,
metrolinktrains38,,metrolinktrains101,metrolinktrains167,
metrolinktrains59,,metrolinktrains101,metrolinktrains168,
metrolinktrains59,,metrolinktrains101,metrolinktrains169,
metrolinktrains30,,metrolinktrains101,metrolinktrains170,
metrolinktrains29,,metrolinktrains101,metrolinktrains171,
metrolinktrains38,,metrolinktrains101,metrolinktrains173,
metrolinktrains27,,metrolinktrains101,metrolinktrains174,
metrolinktrains28,,metrolinktrains101,metrolinktrains175,
metrolinktrains46,,metrolinktrains101,metrolinktrains181,
metrolinktrains46,,metrolinktrains101,metrolinktrains182,
metrolinktrains46,,metrolinktrains101,metrolinktrains183,
metrolinktrains46,,metrolinktrains101,metrolinktrains184,
metrolinktrains26,,metrolinktrains101,metrolinktrains185,
metrolinktrains20,,metrolinktrains101,metrolinktrains186,
metrolinktrains26,,metrolinktrains101,metrolinktrains188,
metrolinktrains27,,metrolinktrains101,metrolinktrains189,
metrolinktrains28,,metrolinktrains101,metrolinktrains190,
metrolinktrains28,,metrolinktrains101,metrolinktrains191,
metrolinktrains19,,metrolinktrains102,metrolinktrains101,
metrolinktrains25,,metrolinktrains102,metrolinktrains103,
metrolinktrains19,,metrolinktrains102,metrolinktrains104,
metrolinktrains17,,metrolinktrains102,metrolinktrains105,
metrolinktrains4,,metrolinktrains102,metrolinktrains106,
metrolinktrains8,,metrolinktrains102,metrolinktrains107,
metrolinktrains34,,metrolinktrains102,metrolinktrains108,
metrolinktrains23,,metrolinktrains102,metrolinktrains109,
metrolinktrains10,,metrolinktrains102,metrolinktrains110,
metrolinktrains18,,metrolinktrains102,metrolinktrains111,
metrolinktrains27,,metrolinktrains102,metrolinktrains112,
metrolinktrains14,,metrolinktrains102,metrolinktrains113,
metrolinktrains25,,metrolinktrains102,metrolinktrains114,
metrolinktrains11,,metrolinktrains102,metrolinktrains115,
metrolinktrains32,,metrolinktrains102,metrolinktrains116,
metrolinktrains44,,metrolinktrains102,metrolinktrains117,
metrolinktrains26,,metrolinktrains102,metrolinktrains118,
metrolinktrains47,,metrolinktrains102,metrolinktrains119,
metrolinktrains34,,metrolinktrains102,metrolinktrains120,
metrolinktrains29,,metrolinktrains102,metrolinktrains121,
metrolinktrains33,,metrolinktrains102,metrolinktrains122,
metrolinktrains51,,metrolinktrains102,metrolinktrains123,
metrolinktrains35,,metrolinktrains102,metrolinktrains124,
metrolinktrains26,,metrolinktrains102,metrolinktrains125,
metrolinktrains23,,metrolinktrains102,metrolinktrains126,
metrolinktrains33,,metrolinktrains102,metrolinktrains127,
metrolinktrains34,,metrolinktrains102,metrolinktrains128,
metrolinktrains4,,metrolinktrains102,metrolinktrains129,
metrolinktrains30,,metrolinktrains102,metrolinktrains130,
metrolinktrains55,,metrolinktrains102,metrolinktrains133,
metrolinktrains23,,metrolinktrains102,metrolinktrains135,
metrolinktrains43,,metrolinktrains102,metrolinktrains140,
metrolinktrains47,,metrolinktrains102,metrolinktrains141,
metrolinktrains27,,metrolinktrains102,metrolinktrains143,
metrolinktrains67,,metrolinktrains102,metrolinktrains144,
metrolinktrains36,,metrolinktrains102,metrolinktrains145,
metrolinktrains44,,metrolinktrains102,metrolinktrains147,
metrolinktrains49,,metrolinktrains102,metrolinktrains148,
metrolinktrains54,,metrolinktrains102,metrolinktrains152,
metrolinktrains50,,metrolinktrains102,metrolinktrains153,
metrolinktrains37,,metrolinktrains102,metrolinktrains154,
metrolinktrains40,,metrolinktrains102,metrolinktrains156,
metrolinktrains18,,metrolinktrains102,metrolinktrains161,
metrolinktrains34,,metrolinktrains102,metrolinktrains162,
metrolinktrains31,,metrolinktrains102,metrolinktrains163,
metrolinktrains17,,metrolinktrains102,metrolinktrains164,
metrolinktrains26,,metrolinktrains102,metrolinktrains165,
metrolinktrains40,,metrolinktrains102,metrolinktrains166,
metrolinktrains19,,metrolinktrains102,metrolinktrains167,
metrolinktrains45,,metrolinktrains102,metrolinktrains168,
metrolinktrains46,,metrolinktrains102,metrolinktrains169,
metrolinktrains4,,metrolinktrains102,metrolinktrains170,
metrolinktrains36,,metrolinktrains102,metrolinktrains171,
metrolinktrains43,,metrolinktrains102,metrolinktrains173,
metrolinktrains33,,metrolinktrains102,metrolinktrains174,
metrolinktrains16,,metrolinktrains102,metrolinktrains175,
metrolinktrains51,,metrolinktrains102,metrolinktrains181,
metrolinktrains51,,metrolinktrains102,metrolinktrains182,
metrolinktrains51,,metrolinktrains102,metrolinktrains183,
metrolinktrains51,,metrolinktrains102,metrolinktrains184,
metrolinktrains35,,metrolinktrains102,metrolinktrains185,
metrolinktrains2,,metrolinktrains102,metrolinktrains186,
metrolinktrains36,,metrolinktrains102,metrolinktrains188,
metrolinktrains38,,metrolinktrains102,metrolinktrains189,
metrolinktrains38,,metrolinktrains102,metrolinktrains190,
metrolinktrains38,,metrolinktrains102,metrolinktrains191,
metrolinktrains40,,metrolinktrains103,metrolinktrains101,
metrolinktrains25,,metrolinktrains103,metrolinktrains102,
