route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off,network_id,cemv_support
LACMTA_RAIL801,,,Metro A Line,,0,https://www.metro.net/a-line/,0072BC,FFFFFF,,,,,
LACMTA_RAIL802,,,Metro B Line,,1,https://www.metro.net/b-line/,EB131B,FFFFFF,,,,,
LACMTA_RAIL803,,,Metro C Line,,0,https://www.metro.net/c-line/,58A738,FFFFFF,,,,,
LACMTA_RAIL804,,,Metro E Line,,0,https://www.metro.net/e-line/,FDB913,000000,,,,,
LACMTA_RAIL807,,,Metro K Line,,0,https://www.metro.net/k-line/,E56DB1,000000,,,,,
LACMTA_RAIL805,,,Metro D Line,,1,https://www.metro.net/d-line/,A05DA5,FFFFFF,,,,,
metrolinktrainsAntelope Valley Line,metrolinktrainsMetrolink,AV Line,Metrolink Antelope Valley Line,,2,https://metrolinktrains.com/schedules/?type=line&lineName=Antelope+Valley+Line,00AF43,FFFFFF,,,,,
metrolinktrainsInland Emp.-Orange Co. Line,metrolinktrainsMetrolink,IE-OC Line,Metrolink Inland Empire-Orange County Line,,2,https://metrolinktrains.com/schedules/?type=line&lineName=IEOC+Line,E92076,FFFFFF,,,,,
metrolinktrainsOrange County Line,metrolinktrainsMetrolink,OC Line,Metrolink Orange County Line,,2,https://metrolinktrains.com/schedules/?type=line&lineName=Orange+County+Line,FF8400,FFFFFF,,,,,
metrolinktrainsRiverside Line,metrolinktrainsMetrolink,RIV Line,Metrolink Riverside Line,,2,https://metrolinktrains.com/schedules/?type=line&lineName=Riverside+Line,682E86,FFFFFF,,,,,
metrolinktrainsSan Bernardino Line,metrolinktrainsMetrolink,SB Line,Metrolink San Bernardino Line,,2,https://metrolinktrains.com/schedules/?type=line&lineName=San+Bernardino+Line,A32136,FFFFFF,,,,,
metrolinktrainsVentura County Line,metrolinktrainsMetrolink,VC Line,Metrolink Ventura County Line,,2,https://metrolinktrains.com/schedules/?type=line&lineName=Ventura+County+Line,FFB81D,000000,,,,,
metrolinktrains91 Line,metrolinktrainsMetrolink,91-PV Line,Metrolink 91-Perris Valley Line,,2,https://metrolinktrains.com/schedules/?type=line&lineName=91+Line,0071CE,FFFFFF,,,,,
