stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,stop_access
LACMTA_RAIL80101,80101,Downtown Long Beach Station,,,33.768071,-118.192921,,,0,LACMTA_RAIL80101S,,,,,
LACMTA_RAIL80101S,80101S,Downtown Long Beach Station,,,33.768071,-118.192921,,,1,,,,,,
LACMTA_RAIL80101A,80101A,Downtown Long Beach Station - 1st & Pacific Entrance,,,33.76805,-118.1935,,,2,LACMTA_RAIL80101S,,,,,
LACMTA_RAIL80101B,80101B,Downtown Long Beach Station - 1st & Pine Entrance,,,33.76804,-118.1925,,,2,LACMTA_RAIL80101S,,,,,
LACMTA_RAIL80102,80102,Pacific Ave Station,,,33.772258,-118.1937,,,0,LACMTA_RAIL80102S,,,,,
LACMTA_RAIL80102S,80102S,Pacific Ave Station,,,33.772258,-118.1937,,,1,,,,,,
LACMTA_RAIL80102A,80102A,Pacific Ave Station - Pacific & 4th Entrance,,,33.77186,-118.19373,,,2,LACMTA_RAIL80102S,,,,,
LACMTA_RAIL80102B,80102B,Pacific Ave Station - Pacific & 5th Entrance,,,33.77282,-118.19373,,,2,LACMTA_RAIL80102S,,,,,
LACMTA_RAIL80105,80105,Anaheim Street Station,,,33.78183,-118.189384,,,0,LACMTA_RAIL80105S,,,,,
LACMTA_RAIL80105S,80105S,Anaheim Street Station,,,33.78183,-118.189384,,,1,,,,,,
LACMTA_RAIL80105A,80105A,Anaheim Street Station - Long Beach & 12th Entrance,,,33.78135,-118.18939,,,2,LACMTA_RAIL80105S,,,,,
LACMTA_RAIL80105B,80105B,Anaheim Street Station - Long Beach & Anaheim Entrance,,,33.78245,-118.18937,,,2,LACMTA_RAIL80105S,,,,,
LACMTA_RAIL80106,80106,Pacific Coast Hwy Station,,,33.78909,-118.189382,,,0,LACMTA_RAIL80106S,,,,,
LACMTA_RAIL80106S,80106S,Pacific Coast Hwy Station,,,33.78909,-118.189382,,,1,,,,,,
LACMTA_RAIL80106A,80106A,Pacific Coast Hwy Station - Long Beach & Pacific Coast Entrance,,,33.78971,-118.18937,,,2,LACMTA_RAIL80106S,,,,,
LACMTA_RAIL80107,80107,Willow Street Station,,,33.807079,-118.189834,,,0,LACMTA_RAIL80107S,,,,,
LACMTA_RAIL80107S,80107S,Willow Street Station,,,33.807079,-118.189834,,,1,,,,,,
LACMTA_RAIL80107A,80107A,Willow Street Station - Long Beach & Willow Entrance,,,33.8065,-118.18957,,,2,LACMTA_RAIL80107S,,,,,
LACMTA_RAIL80108,80108,Wardlow Station,,,33.819865,-118.19609,,,0,LACMTA_RAIL80108S,,,,,
LACMTA_RAIL80108S,80108S,Wardlow Station,,,33.819865,-118.19609,,,1,,,,,,
LACMTA_RAIL80108A,80108A,Wardlow Station - North Entrance,,,33.82027,-118.19636,,,2,LACMTA_RAIL80108S,,,,,
LACMTA_RAIL80108B,80108B,Wardlow Station - Pacific & Wardlow Entrance,,,33.81918,-118.19563,,,2,LACMTA_RAIL80108S,,,,,
LACMTA_RAIL80109,80109,Del Amo Station,,,33.848222,-118.211017,,,0,LACMTA_RAIL80109S,,,,,
LACMTA_RAIL80109S,80109S,Del Amo Station,,,33.848222,-118.211017,,,1,,,,,,
LACMTA_RAIL80109A,80109A,Del Amo Station - Del Amo & Santa Fe Entrance,,,33.84773,-118.2108,,,2,LACMTA_RAIL80109S,,,,,
LACMTA_RAIL80110,80110,Artesia Station,,,33.876082,-118.222503,,,0,LACMTA_RAIL80110S,,,,,
LACMTA_RAIL80110S,80110S,Artesia Station,,,33.876082,-118.222503,,,1,,,,,,
LACMTA_RAIL80110A,80110A,Artesia Station - Bus Plaza Side Entrance,,,33.8766,-118.22307,,,2,LACMTA_RAIL80110S,,,,,
LACMTA_RAIL80111,80111,Compton Station,,,33.89749,-118.224249,,,0,LACMTA_RAIL80111S,,,,,
LACMTA_RAIL80111S,80111S,Compton Station,,,33.89749,-118.224249,,,1,,,,,,
LACMTA_RAIL80111A,80111A,Compton Station - Main Entrance,,,33.89812,-118.22416,,,2,LACMTA_RAIL80111S,,,,,
LACMTA_RAIL80112,80112,Willowbrook - Rosa Parks Station - Metro A-Line,,,33.928048,-118.237555,,,0,LACMTA_RAIL80112S,,,,,
LACMTA_RAIL80112S,80112S,Willowbrook - Rosa Parks Station,,,33.928048,-118.237555,,,1,,,,,,
LACMTA_RAIL80113,80113,103rd Street / Watts Towers  Station,,,33.94222,-118.243159,,,0,LACMTA_RAIL80113S,,,,,
LACMTA_RAIL80113S,80113S,103rd Street / Watts Towers Station,,,33.94222,-118.243159,,,1,,,,,,
LACMTA_RAIL80113A,80113A,103rd Street / Watts Towers  Station - 103rd & Graham Entrance,,,33.94304,-118.24315,,,2,LACMTA_RAIL80113S,,,,,
LACMTA_RAIL80114,80114,Firestone Station,,,33.959611,-118.243205,,,0,LACMTA_RAIL80114S,,,,,
LACMTA_RAIL80114S,80114S,Firestone Station,,,33.959611,-118.243205,,,1,,,,,,
LACMTA_RAIL80114A,80114A,Firestone Station - North Entrance,,,33.95971,-118.24318,,,2,LACMTA_RAIL80114S,,,,,
LACMTA_RAIL80114B,80114B,Firestone Station - South Entrance,,,33.95948,-118.24318,,,2,LACMTA_RAIL80114S,,,,,
LACMTA_RAIL80115,80115,Florence Station,,,33.97374,-118.243271,,,0,LACMTA_RAIL80115S,,,,,
LACMTA_RAIL80115S,80115S,Florence Station,,,33.97374,-118.243271,,,1,,,,,,
LACMTA_RAIL80115A,80115A,Florence Station - Florence & Graham Entrance,,,33.97461,-118.24326,,,2,LACMTA_RAIL80115S,,,,,
LACMTA_RAIL80116,80116,Slauson Station,,,33.98876,-118.243398,,,0,LACMTA_RAIL80116S,,,,,
LACMTA_RAIL80116S,80116S,Slauson Station,,,33.98876,-118.243398,,,1,,,,,,
LACMTA_RAIL80116A,80116A,Slauson Station - North Entrance,,,33.98909,-118.24345,,,2,LACMTA_RAIL80116S,,,,,
LACMTA_RAIL80116B,80116B,Slauson Station - South Entrance,,,33.98835,-118.24334,,,2,LACMTA_RAIL80116S,,,,,
LACMTA_RAIL80117,80117,Vernon Station,,,34.00292,-118.243303,,,0,LACMTA_RAIL80117S,,,,,
LACMTA_RAIL80117S,80117S,Vernon Station,,,34.00292,-118.243303,,,1,,,,,,
LACMTA_RAIL80117A,80117A,Vernon Station - Long Beach & Vernon Entrance,,,34.00378,-118.24329,,,2,LACMTA_RAIL80117S,,,,,
LACMTA_RAIL80118,80118,Washington Station,,,34.01965,-118.243084,,,0,LACMTA_RAIL80118S,,,,,
LACMTA_RAIL80118S,80118S,Washington Station,,,34.01965,-118.243084,,,1,,,,,,
LACMTA_RAIL80118A,80118A,Washington Station - Long Beach & Washington Entrance,,,34.02047,-118.24309,,,2,LACMTA_RAIL80118S,,,,,
LACMTA_RAIL80119,80119,San Pedro Street Station,,,34.026807,-118.255505,,,0,LACMTA_RAIL80119S,,,,,
LACMTA_RAIL80119S,80119S,San Pedro Street Station,,,34.026807,-118.255505,,,1,,,,,,
LACMTA_RAIL80119A,80119A,San Pedro Street Station - Washington & San Pedro Entrance,,,34.02714,-118.2562,,,2,LACMTA_RAIL80119S,,,,,
LACMTA_RAIL80120,80120,Grand / LATTC Station,,,34.033155,-118.269333,,,0,LACMTA_RAIL80120S,,,,,
LACMTA_RAIL80120S,80120S,Grand / LATTC Station,,,34.033155,-118.269333,,,1,,,,,,
LACMTA_RAIL80120A,80120A,Grand / LATTC Station - Washington & Grand Entrance,,,34.03276,-118.26847,,,2,LACMTA_RAIL80120S,,,,,
LACMTA_RAIL80121,80121,Pico Station,,,34.040735,-118.266118,,,0,LACMTA_RAIL80121S,,,,,
LACMTA_RAIL80120B,80120B,Grand / LATTC Station - Washington & Hope Entrance,,,34.03333,-118.26976,,,2,LACMTA_RAIL80120S,,,,,
LACMTA_RAIL80121S,80121S,Pico Station,,,34.040735,-118.266118,,,1,,,,,,
LACMTA_RAIL80121A,80121A,Pico Station - Flower & 12th Entrance,,,34.04104,-118.26573,,,2,LACMTA_RAIL80121S,,,,,
LACMTA_RAIL80121B,80121B,Pico Station - Flower & Pico Entrance,,,34.04033,-118.26637,,,2,LACMTA_RAIL80121S,,,,,
LACMTA_RAIL80122,80122,7th Street / Metro Center Station - Metro A & E Lines,,,34.04861,-118.258822,,,0,LACMTA_RAIL80122S,,,,,
LACMTA_RAIL80122S,80122S,7th Street / Metro Center Station,,,34.04861,-118.258822,,,1,,,,,,
LACMTA_RAIL80122A,80122A,7th Street / Metro Center Station - 7th & Figueroa Elevator,,,34.04916,-118.25933,,,2,LACMTA_RAIL80122S,,,,,
LACMTA_RAIL80122B,80122B,7th Street / Metro Center Station - 7th & Figueroa Entrance,,,34.04936,-118.25966,,,2,LACMTA_RAIL80122S,,,,,
LACMTA_RAIL80122C,80122C,7th Street / Metro Center Station - 7th & Flower Elevator,,,34.0489,-118.25839,,,2,LACMTA_RAIL80122S,,,,,
LACMTA_RAIL80122D,80122D,7th Street / Metro Center Station - 7th & Flower Entrance,,,34.0487,-118.25856,,,2,LACMTA_RAIL80122S,,,,,
LACMTA_RAIL80122F,80122F,7th Street / Metro Center Station - Elevator at the Bloc,,,34.048113,-118.258228,,,2,LACMTA_RAIL80122S,,,,,
LACMTA_RAIL80122G,80122G,7th Street / Metro Center Station - Entrance to the Bloc,,,34.048127,-118.25831,,,2,LACMTA_RAIL80122S,,,,,
LACMTA_RAIL80123,80123,LATTC / Ortho Institute Station,,,34.029112,-118.273603,,,0,LACMTA_RAIL80123S,,,,,
LACMTA_RAIL80123S,80123S,LATTC / Ortho Institute Station,,,34.029112,-118.273603,,,1,,,,,,
LACMTA_RAIL80123A,80123A,LATTC / Ortho Institute Station - North Entrance,,,34.03011,-118.27303,,,2,LACMTA_RAIL80123S,,,,,
LACMTA_RAIL80123B,80123B,LATTC / Ortho Institute Station - South Entrance,,,34.02849,-118.27391,,,2,LACMTA_RAIL80123S,,,,,
LACMTA_RAIL80124,80124,Jefferson / USC Station,,,34.022123,-118.278118,,,0,LACMTA_RAIL80124S,,,,,
LACMTA_RAIL80124S,80124S,Jefferson / USC Station,,,34.022123,-118.278118,,,1,,,,,,
LACMTA_RAIL80124A,80124A,Jefferson / USC Station - Northbound Entrance,,,34.02142,-118.27849,,,2,LACMTA_RAIL80124S,,,,,
LACMTA_RAIL80124B,80124B,Jefferson / USC Station - Southbound Entrance,,,34.02147,-118.27856,,,2,LACMTA_RAIL80124S,,,,,
LACMTA_RAIL80125,80125,Expo Park / USC Station,,,34.018227,-118.285734,,,0,LACMTA_RAIL80125S,,,,,
LACMTA_RAIL80125S,80125S,Expo Park / USC Station,,,34.018227,-118.285734,,,1,,,,,,
LACMTA_RAIL80125A,80125A,Expo Park / USC Station - Eastbound Platform Entrance,,,34.01818,-118.28647,,,2,LACMTA_RAIL80125S,,,,,
LACMTA_RAIL80125B,80125B,Expo Park / USC Station - Westbound Platform Entrance,,,34.01828,-118.28647,,,2,LACMTA_RAIL80125S,,,,,
LACMTA_RAIL80126,80126,Expo / Vermont Station,,,34.018245,-118.29154,,,0,LACMTA_RAIL80126S,,,,,
LACMTA_RAIL80126S,80126S,Expo / Vermont Station,,,34.018245,-118.29154,,,1,,,,,,
LACMTA_RAIL80126A,80126A,Expo / Vermont Station - Eastbound Platform - East Entrance (Stairs),,,34.01819,-118.29024,,,2,LACMTA_RAIL80126S,,,,,
LACMTA_RAIL80126B,80126B,Expo / Vermont Station - Eastbound Platform - West Entrance (Ramp),,,34.01819,-118.2916,,,2,LACMTA_RAIL80126S,,,,,
LACMTA_RAIL80126C,80126C,Expo / Vermont Station - Westbound Platform,,,34.0183,-118.29173,,,2,LACMTA_RAIL80126S,,,,,
LACMTA_RAIL80127,80127,Expo / Western Station,,,34.018331,-118.30891,,,0,LACMTA_RAIL80127S,,,,,
LACMTA_RAIL80127S,80127S,Expo / Western Station,,,34.018331,-118.30891,,,1,,,,,,
LACMTA_RAIL80127A,80127A,Expo / Western Station - Eastbound Platform Entrance,,,34.01828,-118.30874,,,2,LACMTA_RAIL80127S,,,,,
LACMTA_RAIL80127B,80127B,Expo / Western Station - Westbound Platform Entrance,,,34.01838,-118.30905,,,2,LACMTA_RAIL80127S,,,,,
LACMTA_RAIL80128,80128,Expo / Crenshaw E-Line Station,,,34.022526,-118.335078,,,0,LACMTA_RAIL80128S,,,,,
LACMTA_RAIL80128S,80128S,Expo / Crenshaw E-Line Station,,,34.022526,-118.335078,,,1,,,,,,
LACMTA_RAIL80128A,80128A,Expo / Crenshaw E-Line Station - Eastbound Platform Entrance,,,34.02252,-118.33528,,,2,LACMTA_RAIL80128S,,,,,
LACMTA_RAIL80128B,80128B,Expo / Crenshaw E-Line Station - Westbound Platform Entrance,,,34.02256,-118.33492,,,2,LACMTA_RAIL80128S,,,,,
LACMTA_RAIL80129,80129,Farmdale Station,,,34.023981,-118.346095,,,0,LACMTA_RAIL80129S,,,,,
LACMTA_RAIL80129S,80129S,Farmdale Station,,,34.023981,-118.346095,,,1,,,,,,
LACMTA_RAIL80129A,80129A,Farmdale Station - Eastbound Platform Entrance,,,34.02391,-118.34634,,,2,LACMTA_RAIL80129S,,,,,
LACMTA_RAIL80129B,80129B,Farmdale Station - Westbound Platform Entrance,,,34.02398,-118.34587,,,2,LACMTA_RAIL80129S,,,,,
LACMTA_RAIL80130,80130,Expo / La Brea / Ethel Bradley Station,,,34.024803,-118.355159,,,0,LACMTA_RAIL80130S,,,,,
LACMTA_RAIL80130S,80130S,Expo / La Brea / Ethel Bradley Station,,,34.024803,-118.355159,,,1,,,,,,
